#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### ERA NAMES;;;;;;;;;;;;;;x
HIGH_MED;Jerusalem At Its Height;Jerusalem à son apogée;;;;;;;;;;;;x
LATE_MED;The Fourth Crusade;La quatrième croisade;;;;;;;;;;;;x
#### ERA BOOKMARK: Jerusalem at its Height;;;;;;;;;;;;;;x
BM_THE_MONGOLS;Jerusalem at Its Height;;;;Jerusalén en la cima;;;;;;;;;x
#BM_JERUSALEM_DESC;Jerusalem stands strong and proud. The Principality of Antioch has been absorbed and the Kingdom has expanded inland, toward the Sinai peninsula and Damascus. Although Jerusalem’s size and strength goes a long way to secure Catholic dominance in the Levant, everything is far from guaranteed. Damascus and Aleppo still stand as guards against the massive Seljuk Sultanate to the East, and the Fatimid Caliph smarts over the losses Egypt suffered during the First Crusade. Jerusalem has many enemies, and few friends. In the distance, a scream for Jihad sounds…;;;;Jerusalén se alza fuerte y orgullosa. Ha absorbido el reino de Antioquía y se ha expandido hacia el interior, hacia la península del Sinaí y Damasco. Aunque el tamaño y la fuerza del reino son una ventaja para el dominio católico del Levante, aún no hay nada seguro. Damasco y Alepo hacen de colchón frente al masivo Sultanato Selúcida al Este, mientras el Califato Fatimid saca partido al debilitado Egipto. Jerusalén tiene muchos enemigos, y sus aliados están lejos. En la lejanía se oye el grito de la Jihad...;;;;;;;;;x
HIGH_MED_INFO;Jerusalem stands strong and proud. The Principality of Antioch has been absorbed and the Kingdom has expanded inland, toward the Sinai peninsula and Damascus. Although Jerusalem’s size and strength goes a long way to secure Catholic dominance in the Levant, everything is far from guaranteed. Damascus and Aleppo still stand as guards against the massive Seljuk Sultanate to the East, and the Fatimid Caliph smarts over the losses Egypt suffered during the First Crusade. Jerusalem has many enemies, and few friends. In the distance, a scream for Jihad sounds…;;;;Jerusalén se alza fuerte y orgullosa. Ha absorbido el reino de Antioquía y se ha expandido hacia el interior, hacia la península del Sinaí y Damasco. Aunque el tamaño y la fuerza del reino son una ventaja para el dominio católico del Levante, aún no hay nada seguro. Damasco y Alepo hacen de colchón frente al masivo Sultanato Selúcida al Este, mientras el Califato Fatimid saca partido al debilitado Egipto. Jerusalén tiene muchos enemigos, y sus aliados están lejos. En la lejanía se oye el grito de la Jihad...;;;;;;;;;x
ERA_CHAR_INFO_232007; ;;;;;;;;;;;;;x
ERA_CHAR_INFO_216517; ;;;;;;;;;;;;;x
ERA_CHAR_INFO_32905; ;;;;;;;;;;;;;x
ERA_CHAR_INFO_93435; ;;;;;;;;;;;;;x
ERA_CHAR_INFO_34249; ;;;;;;;;;;;;;x
ERA_CHAR_INFO_231012; ;;;;;;;;;;;;;x
#### ERA BOOKMARK: The Latin Empire;;;;;;;;;;;;;;x
BM_100_YEARS_WAR;The Latin Empire;L'Empire latin;Das lateinische Reich;;El Imperio Latino;;;;;;;;;x
LATE_MED_INFO;The notorious and ill fated Fourth Crusade, which was supposed to retake Jerusalem after an invasion through Egypt, was instead derailed by scheming Venetians, corrupt leaders and the deposed Byzantine Emperor Alexios IV, seeking to regain his lost throne. The result was the tragic sack of Constantinople and the subsequent establishment of the Latin Empire. Almost none of the Crusaders even reached the Holy Land. Meanwhile, the infamous King John, brother of Richard the Lionheart, rules in England, and the Christian states of Spain face off against the powerful Almohad dynasty.;La tristement célèbre Quatrième croisade, censée permettre de récupérer Jérusalem au terme d'une invasion à travers l'Égypte, a été mise en échec par des dirigeants vénitiens corrompus et manipulateurs ainsi que par l'Empereur byzantin déchu Alexis IV, désirant à tout prix reconquérir son trône. Cette croisade a abouti au pillage tragique de Constantinople et à l'établissement ultérieur dudit Empire latin. Quasiment aucun croisé n'est parvenu jusqu'à la Terre sainte. Pendant ce temps, l'infâme roi Jean, frère de Richard Cœur de Lion, dirige l'Angleterre et les états chrétiens d'Espagne doivent se défendre contre une puissante dynastie almohade.;Der berüchtigte und unglückselige vierte Kreuzzug, der Jerusalem nach einer Invasion durch Ägypten zurückerobern sollte, schlug stattdessen wegen intriganter Venezianer, korrupter Anführer und des gestürzten byzantinischen Kaisers Alexios IV fehl, der seinen verlorenen Thron zurückgewinnen wollte. Das Ergebnis war die tragische Plünderung von Konstantinopel und die anschließende Gründung des sogenannten lateinischen Kaiserreichs. Fast keiner der Kreuzfahrer erreichte überhaupt das heilige Land. Mittlerweile herrscht der berüchtigte König Johann, der Bruder von Richard Löwenherz, in England und die christlichen Staaten von Spanien kämpfen gegen die mächtige Almohaden-Dynastie.;;La notoria y malograda Cuarta Cruzada, que debía reconquistar Jerusalén tras una invasión a través de Egipto, se desbarató por intrigas venecianas, líderes corruptos y la pretensión del destronado emperador bizantino Alejo IV de recuperar el trono perdido. El resultado fue el trágico saqueo de Constantinopla y el posterior establecimiento del llamado Imperio Latino. Prácticamente ningún Cruzado logró alcanzar Tierra Santa. Mientras tanto, el infame rey Juan, hermano de Ricardo Corazón de León, reina en Inglaterra y los estados cristianos de España se enfrentan a la poderosa dinastía Almohade.;;;;;;;;;x
ERA_CHAR_INFO_205523; ;;;;;;;;;;;;;x
ERA_CHAR_INFO_215674; ;;;;;;;;;;;;;x
ERA_CHAR_INFO_204514; ;;;;;;;;;;;;;x
ERA_CHAR_INFO_205506; ;;;;;;;;;;;;;x
ERA_CHAR_INFO_209500; ;;;;;;;;;;;;;x
ERA_CHAR_INFO_34187; ;;;;;;;;;;;;;x
