saxon;Angelcynn;Angelcynn;Angelcynn;;Angelcynn;;;;;;;;;x
cornish;Kernowek;Kernowek;Kernowek;;Kernowek;;;;;;;;;x
cumbric;Cumbri;Cumbri;Cumbri;;Cumbri;;;;;;;;;x
langobardisch;Langobardo;Langobardo;Langobardo;;Langobardo;;;;;;;;;x
ugricbaltic;Eestlased;Eestlased;Eestlased;;Eestlased;;;;;;;;;x
livonian;Livonijas;Livonijas;Livonijas;;Livonijas;;;;;;;;;x
bosnian;Bosanski;Bosanski;Bosanski;;Bosanski;;;;;;;;;x
arberian;Arbëreshë;Arbëreshë;Arbëreshë;;Arbëreshë;;;;;;;;;x
serbian;Srpski;Srpski;Srpski;;Srpski;;;;;;;;;x
sicilian;Sicilianu;Sicilianu;Sicilianu;;Sicilianu;;;;;;;;;x
sicilian_greek;Sicilianu-Greco;Sicilianu-Greco;Sicilianu-Greco;;Sicilianu-Greco;;;;;;;;;x
sicilian_arabic;Siqilli;Siqilli;Siqilli;;Siqilli;;;;;;;;;x
pommeranian;Vendi;Vendi;Vendi;;Vendi;;;;;;;;;x
ashkenazi;Ashkenazi;Ashkenazi;Ashkenazi;;Ashkenazi;;;;;;;;;x
crusader_culture;Levantine;Levantine;Levantine;;Levantine;;;;;;;;;x
sephardic;Sephardi;Sephardi;Sephardi;;Sephardi;;;;;;;;;x
irish;Goidel;Goidel;Goidel;;Goidel;;;;;;;;;x
scottish;Scots;Scots;Scots;;Scots;;;;;;;;;x
anglonorse;Anglish;Anglish;Anglish;;Anglish;;;;;;;;;x
norsegaelic;Gall Goidel;Gall Goidel;Gall Goidel;;Gall Goidel;;;;;;;;;x
judaic;Judaic;Judaic;Judaic;;Judaic;;;;;;;;;x
welsh;Cymry;Cymry;Cymry;;Cymry;;;;;;;;;x
norwegian;Norskr;Norskr;Norskr;;Norskr;;;;;;;;;x
danish;Danskr;Danskr;Danskr;;Danskr;;;;;;;;;x
swedish;Svenskr;Svenskr;Svenskr;;Svenskr;;;;;;;;;x
gothic;Gautr;Gautr;Gautr;;Gautr;;;;;;;;;x
hungarian;Magyar;Magyar;Magyar;;Magyar;;;;;;;;;x
karantanci;Karantánski;Karantánski;Karantánski;;Karantánski;;;;;;;;;x
sardinian;Sardu;Sardu;Sardu;;Sardu;;;;;;;;;x
moravian;Moravský;Moravský;Moravský;;Moravský;;;;;;;;;x
frankish;Francique;Francique;Francique;;Francique;;;;;;;;;x
norman;Normaund;Normaund;Normaund;;Normaund;;;;;;;;;x
basque;Euskara;Euskara;Euskara;;Euskara;;;;;;;;;x
castillan;Castellana;Castellana;Castellana;;Castellana;;;;;;;;;x
catalan;Catalana;Catalana;Catalana;;Catalana;;;;;;;;;x
portuguese;Portuguesa;Portuguesa;Portuguesa;;Portuguesa;;;;;;;;;x
breton;Bretoned;Bretoned;Bretoned;;Bretoned;;;;;;;;;x
polish;Polski;Polski;Polski;;Polski;;;;;;;;;x
bohemian;Ceský;Ceský;Ceský;;Ceský;;;;;;;;;x
croatian;Hrvatski;Hrvatski;Hrvatski;;Hrvatski;;;;;;;;;x
bulgarian;Bâlgarski;Bâlgarski;Bâlgarski;;Bâlgarski;;;;;;;;;x
prussian;Prusiskan;Prusiskan;Prusiskan;;Prusiskan;;;;;;;;;x
lithuanian;Lietuviu;Lietuviu;Lietuviu;;Lietuviu;;;;;;;;;x
finnish;Suomalainen;Suomalainen;Suomalainen;;Suomalainen;;;;;;;;;x
lappish;Sámi;Sámi;Sámi;;Sámi;;;;;;;;;x
russian;Russkiy;Russkiy;Russkiy;;Russkiy;;;;;;;;;x
greek;Graikós;Graikós;Graikós;;Graikós;;;;;;;;;x
east_gothic;Gótthos;Gótthos;Gótthos;;Gótthos;;;;;;;;;x
armenian;Hay;Hay;Hay;;Hay;;;;;;;;;x
udi;Udi;Udi;Udi;;Udi;;;;;;;;;x
somali;Somali;Somali;Somali;;Somali;;;;;;;;;x
andalusian_arabic;Andalusí;Andalusí;Andalusí;;Andalusí;;;;;;;;;x
corsican;Corsu;Corsu;Corsu;;Corsu;;;;;;;;;x
venetian;Veneto;Veneto;Veneto;;Veneto;;;;;;;;;x
tuscan;Toscano;Toscano;Toscano;;Toscano;;;;;;;;;x
ligurian;Ligure;Ligure;Ligure;;Ligure;;;;;;;;;x
arpitan;Arpitan;Arpitan;Arpitan;;Arpitan;;;;;;;;;x
italian;Lombardo;Lombardo;Lombardo;;Lombardo;;;;;;;;;x
dalmatian;Dalmata;Dalmata;Dalmata;;Dalmata;;;;;;;;;x
central_italian;Mediano;Mediano;Mediano;;Mediano;;;;;;;;;x
southern_italian;Meridionale;Meridionale;Meridionale;;Meridionale;;;;;;;;;x
neapolitan;Neapolitano;Neapolitano;Neapolitano;;Neapolitano;;;;;;;;;x
berber;Iznagen;Iznagen;Iznagen;;Iznagen;;;;;;;;;x
tuareg;Kel Tamashek;Kel Tamachek;Kel Tamachek;;Kel Tamaschek;;;;;;;;;x
gascon;Gascona;Gascona;Gascona;;Gascona;;;;;;;;;x
icelandic;Íslondskr;Íslondskr;Íslondskr;;Íslondskr;;;;;;;;;x
bedouin_arabic;Badawi;Badawi;Badawi;;Badawi;;;;;;;;;x
egyptian_arabic;Misri;Misri;Misri;;Misri;;;;;;;;;x
levantine_arabic;Mashriq;Mashriq;Mashriq;;Mashriq;;;;;;;;;x
turkish;Türk;Türk;Türk;;Türk;;;;;;;;;x
komi;Komi;Komi;Komi;;Komi;;;;;;;;;x
mongol;Mongolchuud;Mongolchuud;Mongolchuud;;Mongolchuud;;;;;;;;;x
kurdish;Kurdi;Kurdi;Kurdi;;Kurdi;;;;;;;;;x
ethiopian;Ye-Ityoppya;Ye-Ityoppya;Ye-Ityoppya;;Ye-Ityoppya;;;;;;;;;x
georgian;Kartveli;Kartveli;Kartveli;;Kartveli;;;;;;;;;x
alan;Alan;Alan;Alan;;Alan;;;;;;;;;x
caucasian_avar;Avaral;Avaral;Avaral;;Avaral;;;;;;;;;x
aragonese;Aragonesa;Aragonesa;Aragonesa;;Aragonesa;;;;;;;;;x
leonese;Leonesa;Leonesa;Leonesa;;Leonesa;;;;;;;;;x
obotrite;Abordite;Abordite;Abordite;;Abordite;;;;;;;;;x
lutici;Lutici;Lutici;Lutici;;Lutici;;;;;;;;;x
galician;Gallega;Gallega;Gallega;;Gallega;;;;;;;;;x
maghreb_arabic;Maghreb;Maghreb;Maghreb;;Maghreb;;;;;;;;;x
samoyed;Nenetsi;Nenetsi;Nenetsi;;Nenetsi;;;;;;;;;x
karelian;Karjalainen;Karjalainen;Karjalainen;;Karjalainen;;;;;;;;;x
vepsian;Vepsläne;Vepsläne;Vepsläne;;Vepsläne;;;;;;;;;x
mari;Mejralainen;Mejralainen;Mejralainen;;Mejralainen;;;;;;;;;x
#ingrian;Inkerilainen;Inkerilainen;Inkerilainen;;Inkerilainen;;;;;;;;;x
khanty;Mansi;Mansi;Mansi;;Mansi;;;;;;;;;x
mordvin;Mokshet;Mokshet;Mokshet;;Mokshet;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Groups;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
#north_germanic;Norrœnt;Norrœnt;Norrœnt;;Norrœnt;;;;;;;;;x
