EVTOPTA1500B;And of course, I give them to the poor.;;;;;;;;;;;;;x
SPANKING101;Give [From.GetHerHim] a good spanking!;;;;;;;;;;;;;x
IRONICP;Give [From.GetHerHim] an ironic punishment...;;;;;;;;;;;;;x
EVTOPTA1510B;I will live a healthy life style!;;;;;;;;;;;;;x
EATUP101;You have to eat up so you will grow up nice and strong!;;;;;;;;;;;;;x
EXERCISE101;You have to enjoy life! What about exercising instead?;;;;;;;;;;;;;x
EDC_NO_GLUT;[GetFromFromRelation] is no longer a glutton you once knew. [FromFrom.GetTitledFirstName] has learned to control [FromFrom.GetHerHis] appetite.;;;;;;;;;;;;;x
EDC_NO_GLUTA;More food for me!;;;;;;;;;;;;;x
EDC_NO_GLUTB;Good!;;;;;;;;;;;;;x
EDC_NO_TEMP;[FromFrom.GetTitledFirstName] has troubling control [FromFrom.GetHerHis] appetite.;;;;;;;;;;;;;x
EDC_NO_TEMPA;As long as it's not too serious.;;;;;;;;;;;;;x
EDC_I_STRONG;I see, to be a strong person, I need to follow a healthy eating habit.;;;;;;;;;;;;;x
EDC_I_STRONGA;Me no small eater! I strong!;;;;;;;;;;;;;x
EDC_U_STRONG;One needs to follow a healthy eating habit to be a strong individual.;;;;;;;;;;;;;x
EDC_U_STRONGA;I am so proud!;;;;;;;;;;;;;x

CHORES101;Hmmm... I will let you play with 'em if you do all your chores...;;;;;;;;;;;;;x
TOO_SHY;I am too shy to say anything.;;;;;;;;;;;;;x
REALITY101;Giving stuff away will make you poor.;;;;;;;;;;;;;x
GREED101;You have to learn how to manage your finances!;;;;;;;;;;;;;x
FRIENDS101;Making friends is so easy!;;;;;;;;;;;;;x
EDC_NO_GREED;Although not exactly charitable, [FromFrom.GetTitledFirstName] is no longer selfish.;;;;;;;;;;;;;x
EDC_NO_GREEDA;Sharing is caring I suppose.;;;;;;;;;;;;;x
EDC_NO_CHARITY;"I am no charity case", [FromFrom.GetTitledFirstName] says...;;;;;;;;;;;;;x
EDC_NO_CHARITYA;No harm done.... I think.;;;;;;;;;;;;;x
EDC_I_QUICK;I see now, you cannot be a good ruler if you give everything away.;;;;;;;;;;;;;x
EDC_I_QUICKA;I am smarter than I thought!;;;;;;;;;;;;;x
EDC_U_QUICK;One is left with nothing if everything has left.;;;;;;;;;;;;;x
EDC_U_QUICKA;[FromFrom.GetTitledFirstName] is quite smart, I think.;;;;;;;;;;;;;x
EDC_TODAY;To...to...today junior!;;;;;;;;;;;;;x
GIVE_COURAGE;I will show you courage!;;;;;;;;;;;;;x

ADVENTURE101;Time to go on an adventure instead!;;;;;;;;;;;;;x
SHOW_DILIGENCE;I will show you how to be diligent.;;;;;;;;;;;;;x
LOOK_ENVIOUS;Point to a child who is clearly smarter.;;;;;;;;;;;;;x
RIGHT_THING;Because it is the right thing to do!;;;;;;;;;;;;;x
TAKE_SHORTCUTS;Teach [From.GetHerHim] how to take shortcuts!;;;;;;;;;;;;;x
GENIUS_KID;You already know how to do these, don't you?;;;;;;;;;;;;;x
EDC_I_SMART;This is too easy... I want to be challenged.;;;;;;;;;;;;;x
EDC_I_SMARTA;Maybe there will be challenges in adulthood.;;;;;;;;;;;;;x
EDC_U_SMART;[FromFrom.GetTitledFirstName] seem to know answer to everything.;;;;;;;;;;;;;x
EDC_U_SMARTA;[FromFrom.GetTitledFirstName] is so gifted!;;;;;;;;;;;;;x
EDC_SLOTH;You went back that night to make [FromFrom.GetTitledFirstName] finish [FromFrom.GetHerHis] homework.;;;;;;;;;;;;;x
EDC_SLOTHA;Oh... You are studying?;;;;;;;;;;;;;x

EDC_AMB_KID;One day, I will have it ALL!;;;;;;;;;;;;;x
EDC_KIND_KID;Hello to you, too!;;;;;;;;;;;;;x
EDC_ENVY;[FromFrom.GetTitledFirstName] has become an individual - no longer envious of others.;;;;;;;;;;;;;x
EDC_ENVYA;I envy [FromFrom.GetHerHim].;;;;;;;;;;;;;x
BE_PROUD;You have what these kids do not have, class.;;;;;;;;;;;;;x
CRUEL_IS_GOOD;There are things that cannot be solved with kindness.;;;;;;;;;;;;;x
TRUST_EVERYONE;Yes all people are good, trust everyone.;;;;;;;;;;;;;x
DESERVE_JUSTICE;They will get what they deserve, no more and no less.;;;;;;;;;;;;;x

EDC_NO_WROTH;[FromFrom.GetTitledFirstName] likes playing with other kids rather than fighting them.;;;;;;;;;;;;;x
EDC_NO_WROTHA;Do not let the dark side consume you.;;;;;;;;;;;;;x
EDC_HURT;You could get hurt from fighting.;;;;;;;;;;;;;x
EDC_POKE;Poke [From.GetHerHim] until [From.GetSheHe] breaks.;;;;;;;;;;;;;x
EDC_NO_PAT;[FromFrom.GetTitledFirstName] is a patient no more.;;;;;;;;;;;;;x
EDC_NO_PATA;No more waiting. The right time is now!;;;;;;;;;;;;;x

EDC_NOTHING_MORE;I am content.;;;;;;;;;;;;;x
EDC_SHARE;Maybe I should share my fortune with other children.;;;;;;;;;;;;;x
EDC_NO_PROUD;[FromFrom.GetTitledFirstName] seems less like a snob!;;;;;;;;;;;;;x
EDC_NO_PROUDA;A Karling no more!;;;;;;;;;;;;;x
EDC_NO_PROUDB;Is [FromFrom.GetSheHe] really a Karling?;;;;;;;;;;;;;x
EDC_KARLING;You are a Karling.;;;;;;;;;;;;;x
WHAT_ENVY;What about the kids who have more than you?;;;;;;;;;;;;;x
EDC_ZEAL_HUM;Everything was given to you by [From.Religion.GetRandomGodName].;;;;;;;;;;;;;x

EDC_EVIL_PROUD;Maybe, I am just better than everyone.;;;;;;;;;;;;;x

EDC_ZEAL_WROTH;I will smash them all!;;;;;;;;;;;;;x
EDC_ZEAL_ENVY;Why do they occupy our ancestral lands?;;;;;;;;;;;;;x

EDC_NOT_NICE;Torturing others brings me pleasure.;;;;;;;;;;;;;x

EDC_HUMBLE_CRAVEN;There are things I cannot yet do.;;;;;;;;;;;;;x

EDC_BRAVE_SHY;Rather this than a fancy dinner party.;;;;;;;;;;;;;x


EDC_CONTENT_SHY;That is the way I am.;;;;;;;;;;;;;x

I_LOVE_DINNER_PARTIES;Now how about some food?;;;;;;;;;;;;;x
I_WILL_WAIT;Now we play the waiting game.;;;;;;;;;;;;;x

GREAT_BEING_KID;It is great being a kid, I get to muck around all day.;;;;;;;;;;;;;x

I_SMASH;I smash things!;;;;;;;;;;;;;x

BRUTAL_HONESTY;Religion is a collection of made up stories.;;;;;;;;;;;;;x

WHY_BORN_THIS_WAY;Why was I born this way?;;;;;;;;;;;;;x

EDC_SAD_CHILD;[From.GetTitledFirstName] seems really upset about something.;;;;;;;;;;;;;x
EDC_SAD_CHILDA;Give [From.GetTitledFirstName] a warm hug.;;;;;;;;;;;;;x
EDC_SAD_CHILDB;I think [From.GetTitledFirstName] needs time alone.;;;;;;;;;;;;;x

EDC_HAPPY_CHILD;Out of the blue, my [From.GetTitledFirstName] gave me a hug.;;;;;;;;;;;;;x
EDC_HAPPY_CHILDA;I see now. I hurt others because they hurt me.;;;;;;;;;;;;;x

EDC_NO_DECEIT;[FromFrom.GetTitledFirstName] may not be always truthful but at least [FromFrom.GetSheHe] is no longer a compulsive liar.;;;;;;;;;;;;;x
EDC_NO_DECEITA;No more lying!;;;;;;;;;;;;;x

EDC_NO_GOD;It is all made up!;;;;;;;;;;;;;x
THINK_FOR_YOURSELF;You should draw your own conclusions.;;;;;;;;;;;;;x

EDC_DILIGENT;You went back that night to make [FromFrom.GetTitledFirstName] finish [FromFrom.GetHerHis] homework.;;;;;;;;;;;;;x
EDC_DILIGENTA;As expected... Sound asleep.;;;;;;;;;;;;;x

EDC_I_DUMB;I do not understand what my [From.GetTitledFirstName] is saying.;;;;;;;;;;;;;x
EDC_I_DUMBA;I really don't get it.;;;;;;;;;;;;;x
EDC_U_DUMB;[FromFrom.GetTitledFirstName] seems to be on the slow side.;;;;;;;;;;;;;x
EDC_U_DUMBA;Not everyone can be helped.;;;;;;;;;;;;;x

EDC_NO_ZEAL;[FromFrom.GetTitledFirstName] enjoys playing with other children from various backgrounds.;;;;;;;;;;;;;x
EDC_NO_ZEALA;Hate only leads to hate.;;;;;;;;;;;;;x

EDC_HUMB_HONESTY;Truth hurts others.;;;;;;;;;;;;;x
EDC_REASON;Have a chat with [From.GetHerHim].;;;;;;;;;;;;;x

EDC_GIVEUP;Let [From.GetHerHim] be.;;;;;;;;;;;;;x

EDC_ENVY_GUARD;Aren't you afraid that you are going to make enemies?;;;;;;;;;;;;;x

